AGE,GENDER,COO,DATE_APPREHENDED,REFERRAL_DATE,DATE_ORR_APPROVED,REFERRING OFFICE,FACILITY_APPROVED,REUNITIED_SEP_PARENTS,UAC STATUS,Date Discharged,Reason fo Separation
7,M,Guatemala,4/14/2018,4/15/2018,4/16/2018,Harlingen (SNA),Southwest Key El Presidente,Discharged Under other approp circumstances,DISCHARGED,8/6/2018,Zero Tolerance Policy
10,M,Mexico,6/3/2018,6/6/2018,6/6/2018,Harlingen (SNA),Shiloh Treatment Center,Reunited with Sep Parent,DISCHARGED,8/18/2018,Zero Tolerance Policy
10,F,Mexico,6/3/2018,6/6/2018,6/6/2018,Harlingen (SNA),Shiloh Treatment Center,Reunited with Sep Parent,DISCHARGED,8/18/2018,Zero Tolerance Policy
A,B,C,D,E,F,G,H,I,J,K,L
16,M,Honduras,6/6/2018,6/8/2018,6/9/2018,Harlingen (SNA),CC Houston,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
17,M,Brazil,6/10/2018,6/11/2018,6/12/2018,,Heartland Guadalupe,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
4,F,Honduras,4/13/2018,5/3/2018,5/4/2018,San Antonio (SNA),Bethany Christian Services TFC,Reunited with Sep Parent,DISCHARGED,6/8/2018,Zero Tolerance Policy
6,M,El Salvador,4/16/2018,4/17/2018,4/18/2018,Harlingen (SNA),Bokenkamp TFC,Reunited with Sep Parent,DISCHARGED,6/20/2018,Zero Tolerance Policy
11,F,Honduras,5/13/2018,5/13/2018,5/15/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
10,F,Guatemala,4/23/2018,4/24/2018,4/26/2018,Harlingen (SNA),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,9/1/2018,Zero Tolerance Policy
12,M,Guatemala,4/23/2018,4/24/2018,4/26/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/7/2018,Zero Tolerance Policy
10,F,Honduras,5/9/2018,5/9/2018,5/10/2018,Harlingen (SNA),Youth For Tomorrow,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
6,M,Honduras,5/9/2018,5/9/2018,5/11/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
6,F,Honduras,5/9/2018,5/9/2018,5/10/2018,Harlingen (SNA),Southwest Key Combes,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
8,F,Honduras,5/9/2018,5/10/2018,5/11/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
5,F,Honduras,5/9/2018,5/10/2018,5/11/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
5,M,Honduras,5/10/2018,5/11/2018,5/12/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
8,M,El Salvador,5/15/2018,5/15/2018,5/17/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
8,M,Honduras,5/16/2018,5/17/2018,5/19/2018,Harlingen (SNA),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,10/4/2018,Zero Tolerance Policy
12,M,Honduras,5/16/2018,5/20/2018,5/21/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
5,M,Honduras,5/16/2018,5/19/2018,5/20/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
11,F,Honduras,5/18/2018,5/19/2018,5/20/2018,Harlingen (SNA),Bethany Christian Services TFC,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
6,M,Honduras,5/17/2018,5/18/2018,5/19/2018,Harlingen (SNA),The Villages,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
11,F,Guatemala,5/18/2018,5/19/2018,5/20/2018,Harlingen (SNA),Southwest Key Antigua,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
17,M,Honduras,5/18/2018,5/18/2018,5/19/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
17,F,Honduras,5/19/2018,5/20/2018,5/22/2018,Harlingen (SNA),Homestead,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
9,M,Honduras,5/22/2018,5/23/2018,5/24/2018,Harlingen (SNA),BCFS San Antonio TFC,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy
6,M,Honduras,5/22/2018,5/24/2018,5/26/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
14,M,Guatemala,4/25/2018,4/27/2018,4/28/2018,Harlingen (SNA),Southwest Key Casa Montezuma,Discharged Under other approp circumstances,DISCHARGED,7/28/2018,Zero Tolerance Policy
3,F,Guatemala,4/25/2018,4/27/2018,4/28/2018,Harlingen (SNA),BCFS San Antonio TFC,Reunited with Sep Parent,DISCHARGED,10/9/2018,Zero Tolerance Policy
6,M,Honduras,4/26/2018,4/27/2018,4/28/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,9/21/2018,Zero Tolerance Policy
5,M,Honduras,4/26/2018,4/28/2018,4/29/2018,Harlingen (SNA),BCFS San Antonio TFC,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
3,F,El Salvador,4/28/2018,4/30/2018,4/30/2018,Harlingen (SNA),Leake and Watts TFC,Reunited with Sep Parent,DISCHARGED,7/11/2018,Zero Tolerance Policy
17,M,Honduras,4/29/2018,4/30/2018,5/1/2018,Harlingen (SNA),Homestead,Discharged Under other approp circumstances,DISCHARGED,7/24/2018,Zero Tolerance Policy
14,M,Guatemala,4/30/2018,3/13/2019,3/13/2019,Harlingen (SNA),JCCA,Still in Care,ADMITTED,,Zero Tolerance Policy
3,M,Honduras,4/29/2018,4/30/2018,5/1/2018,Harlingen (SNA),Bethany Christian Services TFC,Reunited with Sep Parent,DISCHARGED,7/10/2018,Zero Tolerance Policy
1,M,Honduras,4/30/2018,5/1/2018,5/2/2018,Harlingen (SNA),LSS of New York TFC,Discharged Under other approp circumstances,DISCHARGED,10/15/2018,Zero Tolerance Policy
10,M,Honduras,5/17/2018,5/18/2018,5/17/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
0,M,Guatemala,5/21/2018,5/22/2018,5/24/2018,Harlingen (SNA),Southwest Key Campbell,Reunited with Sep Parent,DISCHARGED,7/10/2018,Zero Tolerance Policy
12,M,Guatemala,5/21/2018,5/22/2018,5/24/2018,Harlingen (SNA),Southwest Key Campbell,Reunited with Sep Parent,DISCHARGED,7/10/2018,Zero Tolerance Policy
8,M,Guatemala,5/21/2018,5/22/2018,5/24/2018,Harlingen (SNA),Southwest Key Campbell,Reunited with Sep Parent,DISCHARGED,7/10/2018,Zero Tolerance Policy
5,M,Guatemala,5/21/2018,5/22/2018,5/24/2018,Harlingen (SNA),Southwest Key Campbell,Reunited with Sep Parent,DISCHARGED,7/10/2018,Zero Tolerance Policy
4,M,Honduras,6/11/2018,6/12/2018,6/13/2018,Harlingen (SNA),Heartland CHAP,Reunited with Sep Parent,DISCHARGED,10/12/2018,Zero Tolerance Policy
7,M,Mexico,6/24/2018,6/27/2018,6/28/2018,Harlingen (SNA),Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/11/2018,Zero Tolerance Policy
2,M,Mexico,6/24/2018,6/27/2018,6/28/2018,Harlingen (SNA),Southwest Key Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/11/2018,Zero Tolerance Policy
14,M,Honduras,5/1/2018,5/2/2018,5/2/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
16,M,Guatemala,5/2/2018,5/10/2018,5/10/2018,Harlingen (SNA),BCFS Harlingen,Discharged Under other approp circumstances,DISCHARGED,6/14/2018,Zero Tolerance Policy
16,M,Honduras,5/2/2018,5/3/2018,5/4/2018,Harlingen (SNA),Southwest Key Rio Grande,Discharged Under other approp circumstances,DISCHARGED,7/9/2018,Zero Tolerance Policy
16,F,Honduras,5/5/2018,5/6/2018,5/7/2018,Harlingen (SNA),Southwest Key Nueva Esperanza,Discharged Under other approp circumstances,DISCHARGED,9/28/2018,Zero Tolerance Policy
3,M,Honduras,5/5/2018,5/7/2018,5/8/2018,Harlingen (SNA),Bethany Christian Services Maryland,Reunited with Sep Parent,DISCHARGED,7/11/2018,Zero Tolerance Policy
7,M,Honduras,5/5/2018,5/6/2018,5/7/2018,Harlingen (SNA),BCFS San Antonio TFC,Reunited with Sep Parent,DISCHARGED,9/6/2018,Zero Tolerance Policy
17,F,Honduras,5/5/2018,5/11/2018,5/12/2018,Harlingen (SNA),Southwest Key Nueva Esperanza,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
9,M,Guatemala,5/6/2018,5/8/2018,5/8/2018,Harlingen (SNA),Southwest Key El Presidente,Reunited with Sep Parent,DISCHARGED,8/6/2018,Zero Tolerance Policy
9,F,Honduras,5/6/2018,5/8/2018,5/8/2018,Harlingen (SNA),Southwest Key El Presidente,Reunited with Sep Parent,DISCHARGED,7/16/2018,Zero Tolerance Policy
13,M,Honduras,5/8/2018,5/9/2018,5/10/2018,Harlingen (SNA),Southwest Key Rio Grande,Reunited with Sep Parent,DISCHARGED,10/11/2018,Zero Tolerance Policy
11,F,Guatemala,5/8/2018,5/9/2018,5/10/2018,Harlingen (SNA),BCFS San Antonio,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
15,M,Guatemala,5/8/2018,5/10/2018,5/10/2018,Harlingen (SNA),BCFS Harlingen,Discharged Under other approp circumstances,DISCHARGED,6/14/2018,Zero Tolerance Policy
15,M,Honduras,5/9/2018,5/10/2018,5/11/2018,Harlingen (SNA),BCFS Harlingen,Discharged Under other approp circumstances,DISCHARGED,6/14/2018,Zero Tolerance Policy
8,M,Honduras,5/9/2018,5/11/2018,5/12/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
14,M,Honduras,5/9/2018,5/11/2018,5/12/2018,Harlingen (SNA),Center for Family Services Shelter,Discharged Under other approp circumstances,DISCHARGED,6/26/2018,Zero Tolerance Policy
17,M,Guatemala,5/10/2018,5/11/2018,5/12/2018,Harlingen (SNA),Southwest Key Casa Quetzal,Discharged Under other approp circumstances,DISCHARGED,10/4/2018,Zero Tolerance Policy
5,M,El Salvador,5/10/2018,5/12/2018,5/15/2018,Harlingen (SNA),Catholic Guardian Services TFC,Reunited with Sep Parent,DISCHARGED,7/17/2018,Zero Tolerance Policy
A,B,C,D,E,F,G,H,I,J,K,L
14,F,Honduras,5/11/2018,5/13/2018,5/15/2018,Harlingen (SNA),Southwest Key Antigua,Discharged Under other approp circumstances,DISCHARGED,8/29/2018,Zero Tolerance Policy
7,M,Honduras,5/11/2018,5/13/2018,5/14/2018,Harlingen (SNA),Catholic Guardian Services TFC,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
14,M,Guatemala,5/12/2018,5/13/2018,5/15/2018,Harlingen (SNA),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,9/20/2018,Zero Tolerance Policy
10,F,Guatemala,5/12/2018,5/13/2018,5/14/2018,Harlingen (SNA),BCFS San Antonio TFC,Discharged Under other approp circumstances,DISCHARGED,8/31/2018,Zero Tolerance Policy
13,M,Guatemala,5/12/2018,5/13/2018,5/14/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,10/1/2018,Zero Tolerance Policy
15,F,Honduras,5/12/2018,5/13/2018,5/14/2018,Harlingen (SNA),Southwest Key Antigua,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
8,F,Guatemala,5/12/2018,5/15/2018,5/16/2018,Harlingen (SNA),Southwest Key El Presidente,Reunited with Sep Parent,DISCHARGED,8/10/2018,Zero Tolerance Policy
11,M,Guatemala,5/12/2018,5/13/2018,5/15/2018,Harlingen (SNA),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,9/27/2018,Zero Tolerance Policy
5,M,Honduras,5/12/2018,5/13/2018,5/15/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
15,M,Honduras,5/11/2018,5/14/2018,5/14/2018,Harlingen (SNA),Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,11/16/2018,Zero Tolerance Policy
12,M,Guatemala,5/11/2018,5/13/2018,5/14/2018,Harlingen (SNA),Southwest Key El Presidente,Discharged Under other approp circumstances,DISCHARGED,9/9/2018,Zero Tolerance Policy
9,F,Honduras,5/11/2018,5/13/2018,5/14/2018,Harlingen (SNA),Catholic Guardian Services TFC,Discharged Under other approp circumstances,DISCHARGED,8/22/2018,Zero Tolerance Policy
13,M,Guatemala,5/11/2018,5/15/2018,5/16/2018,Harlingen (SNA),BCFS Harlingen,Still in Care,ADMITTED,,Zero Tolerance Policy
13,M,Honduras,5/12/2018,5/21/2018,5/21/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
10,M,Guatemala,5/12/2018,5/13/2018,5/14/2018,Harlingen (SNA),Southwest Key Casa Montezuma,Discharged Under other approp circumstances,DISCHARGED,8/3/2018,Zero Tolerance Policy
10,M,Honduras,5/13/2018,5/15/2018,5/16/2018,Harlingen (SNA),BCFS Harlingen,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
9,F,Guatemala,5/13/2018,5/15/2018,5/17/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
17,M,Guatemala,6/12/2018,6/15/2018,6/15/2018,Harlingen (SNA),BCFS Harlingen,Reunited with Sep Parent,DISCHARGED,8/9/2018,Zero Tolerance Policy
11,F,Guatemala,5/11/2018,5/13/2018,5/14/2018,Harlingen (SNA),Catholic Guardian Services TFC,Reunited with Sep Parent,DISCHARGED,8/29/2018,Zero Tolerance Policy
16,M,Honduras,5/11/2018,5/13/2018,5/14/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,8/22/2018,Zero Tolerance Policy
6,F,Honduras,5/11/2018,5/12/2018,5/14/2018,Harlingen (SNA),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,9/28/2018,Zero Tolerance Policy
10,M,Honduras,5/11/2018,5/12/2018,5/14/2018,Harlingen (SNA),Cayuga Centers,Discharged Under other approp circumstances,DISCHARGED,9/28/2018,Zero Tolerance Policy
7,F,Honduras,5/11/2018,5/13/2018,5/15/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
15,M,Guatemala,5/17/2018,5/17/2018,5/18/2018,Harlingen (SNA),Bokenkamp,Discharged Under other approp circumstances,DISCHARGED,7/17/2018,Zero Tolerance Policy
16,M,El Salvador,5/22/2018,5/23/2018,5/24/2018,Harlingen (SNA),Southwest Key Rio Grande,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
10,M,El Salvador,5/26/2018,6/1/2018,6/3/2018,Harlingen (SNA),BCFS Baytown,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
14,M,Honduras,5/16/2018,5/16/2018,5/17/2018,Harlingen (SNA),BCFS Raymondville,Discharged Under other approp circumstances,DISCHARGED,5/23/2018,Zero Tolerance Policy
16,M,Guatemala,5/14/2018,5/15/2018,5/16/2018,Harlingen (SNA),BCFS Harlingen,Discharged Under other approp circumstances,DISCHARGED,9/3/2018,Zero Tolerance Policy
17,M,Honduras,5/14/2018,5/15/2018,5/16/2018,Harlingen (SNA),BCFS Harlingen,Discharged Under other approp circumstances,DISCHARGED,6/15/2018,Zero Tolerance Policy
9,M,Honduras,5/14/2018,5/15/2018,5/16/2018,Harlingen (SNA),Leake and Watts TFC,Reunited with Sep Parent,DISCHARGED,7/15/2018,Zero Tolerance Policy
7,M,Honduras,5/14/2018,5/15/2018,5/16/2018,Harlingen (SNA),Leake and Watts TFC,Reunited with Sep Parent,DISCHARGED,7/15/2018,Zero Tolerance Policy
7,F,Honduras,5/14/2018,5/15/2018,5/17/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,9/19/2018,Zero Tolerance Policy
6,M,Guatemala,5/14/2018,5/15/2018,5/17/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,9/19/2018,Zero Tolerance Policy
9,M,Honduras,5/14/2018,5/15/2018,5/17/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
11,M,Honduras,5/14/2018,5/15/2018,5/16/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
15,M,Honduras,5/14/2018,5/15/2018,5/16/2018,Harlingen (SNA),BCFS Harlingen,Reunited with Sep Parent,DISCHARGED,6/15/2018,Zero Tolerance Policy
9,F,Honduras,5/14/2018,5/15/2018,5/17/2018,Harlingen (SNA),Southwest Key El Presidente,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
10,M,Honduras,5/14/2018,5/15/2018,5/17/2018,Harlingen (SNA),Southwest Key Rio Grande,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy
13,F,El Salvador,5/14/2018,5/15/2018,5/17/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
10,M,El Salvador,5/14/2018,5/15/2018,5/16/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
8,F,Honduras,5/14/2018,5/15/2018,5/17/2018,Harlingen (SNA),Southwest Key El Presidente,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy
10,M,Honduras,5/14/2018,5/15/2018,5/17/2018,Harlingen (SNA),Southwest Key Rio Grande,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
16,F,Guatemala,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),Southwest Key Antigua,Discharged Under other approp circumstances,DISCHARGED,12/23/2018,Zero Tolerance Policy
16,M,Guatemala,5/15/2018,5/16/2018,5/16/2018,Harlingen (SNA),Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,12/31/2018,Zero Tolerance Policy
15,M,Guatemala,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,9/19/2018,Zero Tolerance Policy
16,M,Guatemala,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),Bokenkamp,Discharged Under other approp circumstances,DISCHARGED,7/12/2018,Zero Tolerance Policy
15,M,Guatemala,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),LSSS New Hope,Discharged Under other approp circumstances,DISCHARGED,6/30/2018,Zero Tolerance Policy
7,F,Honduras,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),BCFS San Antonio TFC,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
6,M,Honduras,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,10/2/2018,Zero Tolerance Policy
12,M,Honduras,5/15/2018,5/16/2018,5/18/2018,Harlingen (SNA),Board of Child Care Shelter,Discharged Under other approp circumstances,DISCHARGED,9/25/2018,Zero Tolerance Policy
17,M,Honduras,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
15,M,Guatemala,5/14/2018,5/16/2018,5/16/2018,Harlingen (SNA),Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,8/24/2018,Zero Tolerance Policy
5,M,Honduras,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),International Christian Adoptions,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
12,F,Guatemala,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),Southwest Key Nueva Esperanza,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
13,M,Honduras,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),Lincoln Hall Boys Haven,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy
9,M,Honduras,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),MercyFirst,Discharged Under other approp circumstances,DISCHARGED,7/23/2018,Zero Tolerance Policy
16,M,Guatemala,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),BCFS Raymondville,Discharged Under other approp circumstances,DISCHARGED,5/23/2018,Zero Tolerance Policy
8,M,Honduras,5/15/2018,5/16/2018,5/18/2018,Harlingen (SNA),Southwest Key Canutillo,Reunited with Sep Parent,DISCHARGED,7/17/2018,Zero Tolerance Policy
A,B,C,D,E,F,G,H,I,J,K,L
14,F,Honduras,5/15/2018,5/17/2018,5/17/2018,Harlingen (SNA),Southwest Key Antigua,Reunited with Sep Parent,DISCHARGED,9/14/2018,Zero Tolerance Policy
16,F,Honduras,5/15/2018,5/17/2018,5/17/2018,Harlingen (SNA),Southwest Key Antigua,Discharged Under other approp circumstances,DISCHARGED,7/4/2018,Zero Tolerance Policy
12,F,Honduras,5/16/2018,5/17/2018,5/17/2018,Harlingen (SNA),Southwest Key Antigua,Reunited with Sep Parent,DISCHARGED,7/17/2018,Zero Tolerance Policy
17,M,Honduras,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,9/17/2018,Zero Tolerance Policy
16,M,Honduras,5/15/2018,5/16/2018,5/17/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
17,M,Honduras,5/16/2018,5/17/2018,5/17/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy
9,M,El Salvador,5/16/2018,5/17/2018,5/18/2018,Harlingen (SNA),Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/14/2018,Zero Tolerance Policy
7,F,Honduras,5/16/2018,5/17/2018,5/19/2018,Harlingen (SNA),Heartland Intl Childrens Center,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy
11,M,Honduras,5/16/2018,5/17/2018,5/19/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/17/2018,Zero Tolerance Policy
16,F,Honduras,5/16/2018,5/17/2018,5/19/2018,Harlingen (SNA),Southwest Key Antigua,Reunited with Sep Parent,DISCHARGED,7/17/2018,Zero Tolerance Policy
12,F,El Salvador,5/16/2018,5/17/2018,5/19/2018,Harlingen (SNA),Southwest Key Antigua,Reunited with Sep Parent,DISCHARGED,8/21/2018,Zero Tolerance Policy
9,M,El Salvador,5/16/2018,5/17/2018,5/19/2018,Harlingen (SNA),KidsPeace,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy
16,M,Guatemala,5/16/2018,5/17/2018,5/19/2018,Harlingen (SNA),Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,8/1/2018,Zero Tolerance Policy
10,F,El Salvador,5/16/2018,5/17/2018,5/18/2018,Harlingen (SNA),Southwest Key Antigua,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy
6,M,Honduras,5/16/2018,5/17/2018,5/18/2018,Harlingen (SNA),Southwest Key Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy
17,M,Guatemala,5/16/2018,5/17/2018,5/19/2018,Harlingen (SNA),BCFS Harlingen,Discharged Under other approp circumstances,DISCHARGED,6/15/2018,Zero Tolerance Policy
14,M,Guatemala,5/16/2018,5/17/2018,5/18/2018,Harlingen (SNA),Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,7/11/2018,Zero Tolerance Policy
17,M,Honduras,5/14/2018,5/17/2018,5/18/2018,Harlingen (SNA),Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,10/8/2018,Zero Tolerance Policy
15,M,Honduras,5/16/2018,5/17/2018,5/19/2018,Harlingen (SNA),BCFS Harlingen,Discharged Under other approp circumstances,DISCHARGED,6/15/2018,Zero Tolerance Policy
14,M,Honduras,5/16/2018,5/17/2018,5/19/2018,Harlingen (SNA),BCFS Raymondville,Reunited with Sep Parent,DISCHARGED,5/23/2018,Zero Tolerance Policy
13,F,Guatemala,5/16/2018,5/17/2018,5/19/2018,Harlingen (SNA),Southwest Key Nueva Esperanza,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
8,M,Guatemala,5/16/2018,5/18/2018,5/19/2018,Harlingen (SNA),Southwest Key Combes,Reunited with Sep Parent,DISCHARGED,9/25/2018,Zero Tolerance Policy
5,M,El Salvador,5/16/2018,5/18/2018,5/19/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy
8,M,El Salvador,5/16/2018,5/18/2018,5/19/2018,Harlingen (SNA),Bokenkamp TFC,Discharged Under other approp circumstances,DISCHARGED,6/26/2018,Zero Tolerance Policy
11,M,El Salvador,5/16/2018,5/18/2018,5/19/2018,Harlingen (SNA),Bokenkamp TFC,Discharged Under other approp circumstances,DISCHARGED,6/26/2018,Zero Tolerance Policy
14,M,Guatemala,5/16/2018,5/17/2018,5/18/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
17,M,Guatemala,5/16/2018,5/17/2018,5/19/2018,Harlingen (SNA),Southwest Key Casa Padre,Discharged Under other approp circumstances,DISCHARGED,7/5/2018,Zero Tolerance Policy
9,F,Honduras,5/16/2018,5/18/2018,5/19/2018,Harlingen (SNA),Bokenkamp TFC,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
13,M,El Salvador,5/16/2018,5/18/2018,5/19/2018,Harlingen (SNA),Lincoln Hall Boys Haven,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy
8,F,Guatemala,5/16/2018,5/18/2018,5/19/2018,Harlingen (SNA),Bokenkamp TFC,Discharged Under other approp circumstances,DISCHARGED,5/29/2018,Zero Tolerance Policy
17,M,Guatemala,5/17/2018,5/18/2018,5/19/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
16,M,Guatemala,5/17/2018,5/18/2018,5/19/2018,Harlingen (SNA),Southwest Key Casa Padre,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy
