,AGE,GENDER,COO,DATE_APPREHENDED,REFERRAL_DATE,DATE_ORR_APPROVED,REFERRING OFFICE,FACILITY_APPROVED,REUNITIED_SEP_PARENTS,UAC STATUS,Date Discharged,Reason fo Separation,lat,lon,Duration
985,8,M,El Salvador,2018-05-16,5/18/2018,5/19/2018,Harlingen (SNA),Bokenkamp Children’s Shelter,Discharged Under other approp circumstances,DISCHARGED,6/26/2018,Zero Tolerance Policy,27.7177065686254,-97.34968717809491,41
970,11,M,Honduras,2018-05-16,5/17/2018,5/19/2018,Harlingen (SNA),Southwest Key - Casa Padre,Reunited with Sep Parent,DISCHARGED,7/17/2018,Zero Tolerance Policy,25.94322,-97.42408,62
971,16,F,Honduras,2018-05-16,5/17/2018,5/19/2018,Harlingen (SNA),Southwest Key - Antigua,Reunited with Sep Parent,DISCHARGED,7/17/2018,Zero Tolerance Policy,26.123897,-97.632978,62
194,12,F,El Salvador,2018-05-16,5/16/2018,5/16/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/10/2018,Zero Tolerance Policy,33.43648884057369,-112.08148486867414,55
195,10,F,El Salvador,2018-05-16,5/16/2018,5/16/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,32.241632,-110.97948,69
999,13,M,Honduras,2018-05-16,5/17/2018,5/18/2018,Harlingen (SNA),Southwest Key - Casa Quetzal,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,29.867513,-95.407907,68
197,6,M,Guatemala,2018-05-16,5/16/2018,5/18/2018,"Phoenix, AZ  (PHO)",Bokenkamp Children’s Shelter,Reunited with Sep Parent,DISCHARGED,7/17/2018,Zero Tolerance Policy,27.7177065686254,-97.34968717809491,62
980,15,M,Honduras,2018-05-16,5/17/2018,5/19/2018,Harlingen (SNA),BCFS - Harlingen,Discharged Under other approp circumstances,DISCHARGED,6/15/2018,Zero Tolerance Policy,26.190327116846483,-97.6776081421415,30
991,8,F,Guatemala,2018-05-16,5/18/2018,5/19/2018,Harlingen (SNA),Bokenkamp Children’s Shelter,Discharged Under other approp circumstances,DISCHARGED,5/29/2018,Zero Tolerance Policy,27.7177065686254,-97.34968717809491,13
990,13,M,El Salvador,2018-05-16,5/18/2018,5/19/2018,Harlingen (SNA),Lincoln Hall Boys’ Haven,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy,41.3201108125575,-73.72065523631649,67
196,17,F,Guatemala,2018-05-16,5/16/2018,5/16/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,33.43648884057369,-112.08148486867414,70
981,14,M,Honduras,2018-05-16,5/17/2018,5/19/2018,Harlingen (SNA),BCFS - Raymondville,Reunited with Sep Parent,DISCHARGED,5/23/2018,Zero Tolerance Policy,26.451811397813433,-97.79827777339452,7
982,13,F,Guatemala,2018-05-16,5/17/2018,5/19/2018,Harlingen (SNA),Southwest Key - Nueva Esperanza,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy,26.022101482987534,-97.4265115439823,67
198,17,M,Guatemala,2018-05-16,5/17/2018,5/18/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,32.241632,-110.97948,64
983,8,M,Guatemala,2018-05-16,5/18/2018,5/19/2018,Harlingen (SNA),Southwest Key - Combes),Reunited with Sep Parent,DISCHARGED,9/25/2018,Zero Tolerance Policy,26.239331,-97.729311,132
989,9,F,Honduras,2018-05-16,5/18/2018,5/19/2018,Harlingen (SNA),Bokenkamp Children’s Shelter,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy,27.7177065686254,-97.34968717809491,67
988,17,M,Guatemala,2018-05-16,5/17/2018,5/19/2018,Harlingen (SNA),Southwest Key - Casa Padre,Discharged Under other approp circumstances,DISCHARGED,7/5/2018,Zero Tolerance Policy,25.94322,-97.42408,50
987,14,M,Guatemala,2018-05-16,5/17/2018,5/18/2018,Harlingen (SNA),Southwest Key - Casa Padre,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy,25.94322,-97.42408,67
986,11,M,El Salvador,2018-05-16,5/18/2018,5/19/2018,Harlingen (SNA),Bokenkamp Children’s Shelter,Discharged Under other approp circumstances,DISCHARGED,6/26/2018,Zero Tolerance Policy,27.7177065686254,-97.34968717809491,41
975,10,F,El Salvador,2018-05-16,5/17/2018,5/18/2018,Harlingen (SNA),Southwest Key - Antigua,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,26.123897,-97.632978,71
974,16,M,Guatemala,2018-05-16,5/17/2018,5/19/2018,Harlingen (SNA),Southwest Key - Casa Padre,Discharged Under other approp circumstances,DISCHARGED,8/1/2018,Zero Tolerance Policy,25.94322,-97.42408,77
984,5,M,El Salvador,2018-05-16,5/18/2018,5/19/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy,40.8088,-73.9307,66
998,16,F,Honduras,2018-05-16,5/17/2018,5/18/2018,Harlingen (SNA),Southwest Key - Casa Quetzal,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,29.867513,-95.407907,68
2438,8,M,Honduras,2018-05-16,5/16/2018,5/18/2018,Del Rio (DRO),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,8/6/2018,Zero Tolerance Policy,40.8088,-73.9307,82
972,12,F,El Salvador,2018-05-16,5/17/2018,5/19/2018,Harlingen (SNA),Southwest Key - Antigua,Reunited with Sep Parent,DISCHARGED,8/21/2018,Zero Tolerance Policy,26.123897,-97.632978,97
973,9,M,El Salvador,2018-05-16,5/17/2018,5/19/2018,Harlingen (SNA),KidsPeace Broadway Campus,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy,40.596270487855485,-75.40668221092272,65
968,9,M,El Salvador,2018-05-16,5/17/2018,5/18/2018,Harlingen (SNA),Southwest Key - Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/14/2018,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,59
199,7,F,Guatemala,2018-05-16,5/17/2018,5/17/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,69
969,7,F,Honduras,2018-05-16,5/17/2018,5/19/2018,Harlingen (SNA),Heartland International Children’s Center,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,41.88621532425004,-87.62569283046726,70
964,12,F,Honduras,2018-05-16,5/17/2018,5/17/2018,Harlingen (SNA),Southwest Key - Antigua,Reunited with Sep Parent,DISCHARGED,7/17/2018,Zero Tolerance Policy,26.123897,-97.632978,62
2411,16,F,Honduras,2018-05-16,5/17/2018,5/18/2018,Del Rio (DRO),Southwest Key - Casa Quetzal,Discharged Under other approp circumstances,DISCHARGED,6/28/2018,Zero Tolerance Policy,29.867513,-95.407907,43
2439,7,F,Honduras,2018-05-16,5/16/2018,5/18/2018,Del Rio (DRO),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy,40.8088,-73.9307,66
967,17,M,Honduras,2018-05-16,5/17/2018,5/17/2018,Harlingen (SNA),Southwest Key - Casa Padre,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy,25.94322,-97.42408,63
242,16,M,Guatemala,2018-05-17,5/18/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Glendale,Reunited with Sep Parent,DISCHARGED,5/26/2018,Zero Tolerance Policy,33.542104,-112.169822,9
415,7,M,Honduras,2018-05-17,5/19/2018,5/19/2018,Harlingen (SNA),Southwest Key - Combes),Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,26.239331,-97.729311,68
221,5,F,Guatemala,2018-05-17,5/19/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,68
220,14,M,Guatemala,2018-05-17,5/18/2018,5/18/2018,"Phoenix, AZ  (PHO)",A New Leaf – Dorothy B. Mitchell Counseling Center,Discharged Under other approp circumstances,DISCHARGED,6/30/2018,Zero Tolerance Policy,33.42312583690492,-111.79475465271236,44
241,9,M,Guatemala,2018-05-17,5/20/2018,5/21/2018,"Phoenix, AZ  (PHO)",Crittenton Services for Children and Families,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy,33.875025172927295,-117.91111291569258,65
243,7,M,El Salvador,2018-05-17,5/19/2018,5/21/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,40.8088,-73.9307,69
219,11,M,Guatemala,2018-05-17,5/18/2018,5/18/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,68
213,14,F,Guatemala,2018-05-17,5/17/2018,5/18/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,33.43648884057369,-112.08148486867414,68
2427,1,F,Honduras,2018-05-17,5/17/2018,5/19/2018,Laredo (LRD),Bethany Christian Services TFC - Baltimore,Reunited with Sep Parent,DISCHARGED,7/10/2018,Zero Tolerance Policy,38.98937137244992,-76.69293258909268,54
218,9,M,Guatemala,2018-05-17,5/19/2018,5/22/2018,"Phoenix, AZ  (PHO)",Southwest Key - Combes),Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,26.239331,-97.729311,68
217,10,F,Guatemala,2018-05-17,5/18/2018,5/20/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,40.8088,-73.9307,69
216,8,M,Guatemala,2018-05-17,5/18/2018,5/18/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,62
1456,13,F,Honduras,2018-05-17,5/18/2018,5/18/2018,El Paso  (ELP),Southwest Key - Casita del Valle,Discharged Under other approp circumstances,DISCHARGED,9/24/2018,Zero Tolerance Policy,31.5319521,-106.2326139,130
211,15,M,Guatemala,2018-05-17,5/17/2018,5/18/2018,"Phoenix, AZ  (PHO)",Southwest Key - Las Palmas,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,33.434662,-111.840591,67
210,9,F,Guatemala,2018-05-17,5/19/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Reunited with Sep Parent,DISCHARGED,7/9/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,53
209,7,M,Guatemala,2018-05-17,5/17/2018,5/18/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/9/2018,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,53
208,15,M,Guatemala,2018-05-17,5/17/2018,5/19/2018,"Phoenix, AZ  (PHO)",Rite of Passage - Sycamore,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,32.53846327994423,-110.71758452433525,70
245,16,M,Guatemala,2018-05-17,5/19/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy,32.241632,-110.97948,62
1454,16,F,Honduras,2018-05-17,5/18/2018,5/18/2018,El Paso  (ELP),Southwest Key - Canutillo,Discharged Under other approp circumstances,DISCHARGED,9/7/2018,Zero Tolerance Policy,31.90807037763406,-106.59511040483042,113
246,17,M,Guatemala,2018-05-17,5/19/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,32.241632,-110.97948,68
1017,15,F,Honduras,2018-05-17,5/25/2018,5/26/2018,Harlingen (SNA),BCFS - San Antonio,Discharged Under other approp circumstances,DISCHARGED,8/7/2018,Zero Tolerance Policy,29.489023513806092,-98.5685671455097,82
244,9,M,Guatemala,2018-05-17,5/19/2018,5/21/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy,40.8088,-73.9307,65
1455,10,F,Honduras,2018-05-17,5/18/2018,5/19/2018,El Paso  (ELP),Southwest Key - Conroe,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,30.371544,-95.512041,63
1012,15,M,Honduras,2018-05-17,5/19/2018,5/20/2018,Harlingen (SNA),BCFS - Harlingen,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy,26.190327116846483,-97.6776081421415,64
1013,17,M,Honduras,2018-05-17,5/19/2018,5/19/2018,Harlingen (SNA),BCFS - Harlingen,Discharged Under other approp circumstances,DISCHARGED,6/15/2018,Zero Tolerance Policy,26.190327116846483,-97.6776081421415,29
230,7,M,Guatemala,2018-05-17,5/18/2018,5/20/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,40.8088,-73.9307,70
231,14,M,Guatemala,2018-05-17,5/18/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,32.241632,-110.97948,68
1008,16,F,Honduras,2018-05-17,5/19/2018,5/19/2018,Harlingen (SNA),Southwest Key - Antigua,Discharged Under other approp circumstances,DISCHARGED,10/19/2018,Zero Tolerance Policy,26.123897,-97.632978,155
232,14,M,Guatemala,2018-05-17,5/18/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,32.241632,-110.97948,68
233,8,M,Guatemala,2018-05-17,5/18/2018,5/20/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,40.8088,-73.9307,70
234,17,M,Guatemala,2018-05-17,5/18/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Discharged Under other approp circumstances,DISCHARGED,9/21/2018,Zero Tolerance Policy,32.241632,-110.97948,127
235,12,F,Guatemala,2018-05-17,5/18/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Las Palmas,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy,33.434662,-111.840591,62
236,5,F,Guatemala,2018-05-17,5/18/2018,5/20/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,40.8088,-73.9307,69
1002,13,M,Honduras,2018-05-17,5/18/2018,5/19/2018,Harlingen (SNA),Southwest Key - Casa Padre,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,25.94322,-97.42408,67
1001,15,M,Honduras,2018-05-17,5/18/2018,5/19/2018,Harlingen (SNA),BCFS - Raymondville,Still in Care,ADMITTED,,Zero Tolerance Policy,26.451811397813433,-97.79827777339452,0
880,10,M,Honduras,2018-05-17,5/18/2018,5/17/2018,Harlingen (SNA),Southwest Key - Casa Padre,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy,25.94322,-97.42408,66
1000,15,M,Honduras,2018-05-17,5/18/2018,5/19/2018,Harlingen (SNA),Southwest Key - Casa Padre,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,25.94322,-97.42408,67
237,17,F,Guatemala,2018-05-17,5/18/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Las Palmas,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,33.434662,-111.840591,68
238,6,F,Guatemala,2018-05-17,5/18/2018,5/20/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,40.8088,-73.9307,67
239,14,M,Guatemala,2018-05-17,5/20/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,68
240,15,F,Guatemala,2018-05-17,5/18/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Antigua,Discharged Under other approp circumstances,DISCHARGED,10/7/2018,Zero Tolerance Policy,26.123897,-97.632978,143
18,5,F,Honduras,2018-05-17,5/18/2018,5/20/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,9/25/2018,Zero Tolerance Policy,40.8088,-73.9307,131
229,14,M,Guatemala,2018-05-17,5/18/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Reunited with Sep Parent,DISCHARGED,7/9/2018,Zero Tolerance Policy,32.241632,-110.97948,53
927,15,M,Guatemala,2018-05-17,5/17/2018,5/18/2018,Harlingen (SNA),Bokenkamp Children’s Shelter,Discharged Under other approp circumstances,DISCHARGED,7/17/2018,Zero Tolerance Policy,27.71790130420733,-97.34967108875165,61
997,17,M,Guatemala,2018-05-17,5/19/2018,5/19/2018,Harlingen (SNA),Children’s Home of Kingston,Discharged Under other approp circumstances,DISCHARGED,6/29/2018,Zero Tolerance Policy,41.92485519650927,-73.97117177341138,43
995,16,M,Guatemala,2018-05-17,5/18/2018,5/19/2018,Harlingen (SNA),Southwest Key - Casa Padre,Discharged Under other approp circumstances,DISCHARGED,8/8/2018,Zero Tolerance Policy,25.94322,-97.42408,83
222,14,M,Guatemala,2018-05-17,5/18/2018,5/19/2018,"Phoenix, AZ  (PHO)",A New Leaf – Dorothy B. Mitchell Counseling Center,Reunited with Sep Parent,DISCHARGED,7/26/2018,Zero Tolerance Policy,33.42312583690492,-111.79475465271236,70
207,15,M,Guatemala,2018-05-17,5/17/2018,5/18/2018,"Phoenix, AZ  (PHO)",Southwest Key - Estrella del Norte,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,32.241632,-110.97948,67
206,5,M,Guatemala,2018-05-17,5/17/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,64
205,10,M,Guatemala,2018-05-17,5/17/2018,5/19/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Reunited with Sep Parent,DISCHARGED,7/20/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,64
204,5,F,Guatemala,2018-05-17,5/17/2018,5/17/2018,"Phoenix, AZ  (PHO)",Southwest Key - Hacienda del Sol,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,33.59771115911375,-112.30353218770304,68
400,14,F,Guatemala,2018-05-17,5/21/2018,5/22/2018,Harlingen (SNA),Southwest Key - Canutillo,Reunited with Sep Parent,DISCHARGED,6/22/2018,Zero Tolerance Policy,31.90807037763406,-106.59511040483042,36
992,17,M,Guatemala,2018-05-17,5/18/2018,5/19/2018,Harlingen (SNA),Southwest Key - Casa Padre,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,25.94322,-97.42408,63
993,16,M,Guatemala,2018-05-17,5/18/2018,5/19/2018,Harlingen (SNA),Southwest Key - Casa Padre,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,25.94322,-97.42408,63
996,17,M,Guatemala,2018-05-17,5/18/2018,5/19/2018,Harlingen (SNA),Southwest Key - Casa Padre,Discharged Under other approp circumstances,DISCHARGED,11/3/2018,Zero Tolerance Policy,25.94322,-97.42408,170
994,16,M,Honduras,2018-05-17,5/18/2018,5/19/2018,Harlingen (SNA),Southwest Key - Casa Padre,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,25.94322,-97.42408,63
223,7,M,Guatemala,2018-05-17,5/18/2018,5/18/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/21/2018,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,65
224,7,F,Guatemala,2018-05-17,5/19/2018,5/20/2018,"Phoenix, AZ  (PHO)",KidsPeace Broadway Campus,Reunited with Sep Parent,DISCHARGED,7/22/2018,Zero Tolerance Policy,40.596270487855485,-75.40668221092272,66
225,7,M,Guatemala,2018-05-17,5/18/2018,5/20/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,40.8088,-73.9307,69
868,6,M,Honduras,2018-05-17,5/18/2018,5/19/2018,Harlingen (SNA),The Villages,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,39.057085480413406,-95.78697096777489,68
226,11,F,Guatemala,2018-05-17,5/18/2018,5/20/2018,"Phoenix, AZ  (PHO)",Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,40.8088,-73.9307,69
227,8,M,Guatemala,2018-05-17,5/18/2018,5/18/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/18/2018,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,62
228,5,M,Guatemala,2018-05-17,5/19/2018,5/21/2018,"Phoenix, AZ  (PHO)",BCFS - San Antonio Transitional Foster Care,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,29.489023513806092,-98.5685671455097,67
200,16,M,Guatemala,2018-05-17,5/17/2018,5/17/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Phoenix,Reunited with Sep Parent,DISCHARGED,7/24/2018,Zero Tolerance Policy,33.43648884057369,-112.08148486867414,68
215,6,M,Guatemala,2018-05-17,5/17/2018,5/18/2018,"Phoenix, AZ  (PHO)",Southwest Key - Casa Kokopelli,Reunited with Sep Parent,DISCHARGED,7/6/2018,Zero Tolerance Policy,33.41057000348104,-111.81485200053244,50
1047,12,M,Guatemala,2018-05-18,5/20/2018,5/21/2018,Harlingen (SNA),BCFS - Chavaneaux,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,29.321531760534477,-98.52796822690473,68
1048,14,M,Guatemala,2018-05-18,5/19/2018,5/21/2018,Harlingen (SNA),Southwest Key - Casa Padre,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,25.94322,-97.42408,62
1045,11,M,Honduras,2018-05-18,5/19/2018,5/20/2018,Harlingen (SNA),Southwest Key - El Presidente,Reunited with Sep Parent,DISCHARGED,7/25/2018,Zero Tolerance Policy,25.944447,-97.450052,68
1042,15,F,Honduras,2018-05-18,5/21/2018,5/22/2018,Harlingen (SNA),Southwest Key - Campbell,Reunited with Sep Parent,DISCHARGED,7/19/2018,Zero Tolerance Policy,33.50126,-112.11539,62
1044,15,M,Guatemala,2018-05-18,5/19/2018,5/20/2018,Harlingen (SNA),Southwest Key - Casa Padre,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,25.94322,-97.42408,66
1043,16,M,Honduras,2018-05-18,5/19/2018,5/20/2018,Harlingen (SNA),Southwest Key - Casa Padre,Discharged Under other approp circumstances,DISCHARGED,8/4/2018,Zero Tolerance Policy,25.94322,-97.42408,78
1009,12,M,Honduras,2018-05-18,5/19/2018,5/20/2018,Harlingen (SNA),Southwest Key - Casa Padre,Discharged Under other approp circumstances,DISCHARGED,7/1/2018,Zero Tolerance Policy,25.94322,-97.42408,44
1007,14,M,Honduras,2018-05-18,5/19/2018,5/19/2018,Harlingen (SNA),BCFS - Harlingen,Discharged Under other approp circumstances,DISCHARGED,6/28/2018,Zero Tolerance Policy,26.190327116846483,-97.6776081421415,41
1006,16,F,Guatemala,2018-05-18,5/19/2018,5/21/2018,Harlingen (SNA),Bokenkamp Children’s Shelter,Discharged Under other approp circumstances,DISCHARGED,6/30/2018,Zero Tolerance Policy,27.71790130420733,-97.34967108875165,43
1005,14,M,Guatemala,2018-05-18,5/19/2018,5/21/2018,Harlingen (SNA),Bokenkamp Children’s Shelter,Discharged Under other approp circumstances,DISCHARGED,6/30/2018,Zero Tolerance Policy,27.71790130420733,-97.34967108875165,43
1004,14,M,Guatemala,2018-05-18,5/19/2018,5/20/2018,Harlingen (SNA),Southwest Key - Casa Padre,Discharged Under other approp circumstances,DISCHARGED,12/23/2018,Zero Tolerance Policy,25.94322,-97.42408,219
1003,16,F,El Salvador,2018-05-18,5/19/2018,5/21/2018,Harlingen (SNA),Bokenkamp Children’s Shelter,Reunited with Sep Parent,DISCHARGED,7/13/2018,Zero Tolerance Policy,27.71790130420733,-97.34967108875165,56
1140,15,M,Guatemala,2018-05-18,5/24/2018,5/27/2018,Harlingen (SNA),Children’s Village Shelter,Discharged Under other approp circumstances,DISCHARGED,9/5/2018,Zero Tolerance Policy,40.86712278967711,-73.89302256434361,110
1057,13,F,Guatemala,2018-05-18,5/19/2018,5/21/2018,Harlingen (SNA),Upbring New Hope Children’s Center,Discharged Under other approp circumstances,DISCHARGED,9/18/2018,Zero Tolerance Policy,26.210123491244904,-98.21048473254535,123
1056,13,M,Guatemala,2018-05-18,5/19/2018,5/21/2018,Harlingen (SNA),Southwest Key - Casa Padre,Discharged Under other approp circumstances,DISCHARGED,11/3/2018,Zero Tolerance Policy,25.94322,-97.42408,169
1055,5,F,Honduras,2018-05-18,5/20/2018,5/22/2018,Harlingen (SNA),Lutheran Social Services of New York Safe Haven for Children,Discharged Under other approp circumstances,DISCHARGED,6/28/2018,Zero Tolerance Policy,40.81396993020305,-73.9664686138336,41
1054,16,F,Honduras,2018-05-18,5/19/2018,5/20/2018,Harlingen (SNA),Southwest Key - Rio Grande,Discharged Under other approp circumstances,DISCHARGED,6/29/2018,Zero Tolerance Policy,26.136415111921824,-97.6220972781903,42
1053,10,M,Honduras,2018-05-18,5/19/2018,5/20/2018,Harlingen (SNA),Southwest Key - Rio Grande,Discharged Under other approp circumstances,DISCHARGED,6/29/2018,Zero Tolerance Policy,26.136415111921824,-97.6220972781903,42
1052,6,M,Honduras,2018-05-18,5/19/2018,5/20/2018,Harlingen (SNA),Southwest Key - El Presidente,Discharged Under other approp circumstances,DISCHARGED,8/6/2018,Zero Tolerance Policy,25.944447,-97.450052,80
1051,17,M,Honduras,2018-05-18,5/19/2018,5/20/2018,Harlingen (SNA),Southwest Key - Conroe,Discharged Under other approp circumstances,DISCHARGED,6/27/2018,Zero Tolerance Policy,30.371544,-95.512041,40
1050,15,M,Honduras,2018-05-18,5/19/2018,5/20/2018,Harlingen (SNA),Southwest Key - Conroe,Reunited with Sep Parent,DISCHARGED,7/23/2018,Zero Tolerance Policy,30.371544,-95.512041,66
1049,6,M,Honduras,2018-05-18,5/20/2018,5/22/2018,Harlingen (SNA),Cayuga Centers,Reunited with Sep Parent,DISCHARGED,7/14/2018,Zero Tolerance Policy,40.8088,-73.9307,57
